Running single thread with 1 workers
finished   (0-0:0) [] [ '0', '1' ]
finished   (1087-0:0) [] [ '1087', '514' ]
finished   (601-1:0) [] [ '601', '514' ]
finished   (896-0:0) [] [ '896', '514' ]
finished   (205-2:0) [] [ '205', '514' ]
finished   (1057-1:0) [] [ '1057', '514' ]
finished   (153-1:0) [] [ '153', '514' ]
finished   (632-2:0) [] [ '632', '514' ]
finished   (793-1:0) [] [ '793', '584' ]
finished   (156-1:0) [] [ '156', '514' ]
finished   (633-3:0) [] [ '633', '514' ]
finished   (290-0:0) [] [ '290', '514' ]
finished   (633-4:0) [] [ '633', '514' ]
finished   (600-6:0) [] [ '600', '1088' ]
finished   (303-2:0) [] [ '303', '10' ]
finished   (1089-0:0) [] [ '1089', '274' ]
finished   (1090-0:0) [] [ '1090', '100' ]
finished   (1090-1:0) [] [ '1090', '100' ]
finished   (1086-0:0) [] [ '1086', '437' ]
finished   (914-1:0) [] [ '914', '514' ]
finished   (88-1:0) [] [ '88', '514' ]
finished   (1091-0:0) [] [ '1091', '1092' ]
finished   (1054-1:0) [] [ '1054', '514' ]
finished   (914-2:0) [] [ '914', '10' ]
finished   (13-1:0) [] [ '13', '10' ]
finished   (13-2:0) [] [ '13', '10' ]
finished   (1093-0:0) [] [ '1093', '514' ]
finished   (1094-0:0) [] [ '1094', '514' ]
finished   (1095-0:0) [] [ '1095', '514' ]
finished   (1096-0:0) [] [ '1096', '514' ]
finished   (530-1:0) [] [ '530', '514' ]
finished   (1097-0:0) [] [ '1097', '514' ]
finished   (205-3:0) [] [ '205', '514' ]
finished   (1097-1:0) [] [ '1097', '514' ]
finished   (205-4:0) [] [ '205', '514' ]
finished   (1098-0:0) [] [ '1098', '514' ]
finished   (1099-0:0) [] [ '1099', '514' ]
finished   (1100-0:0) [] [ '1100', '514' ]
finished   (205-5:0) [] [ '205', '514' ]
finished   (1101-0:0) [] [ '1101', '514' ]
finished   (371-2:0) [] [ '371', '205' ]
finished   (871-4:0) [] [ '871', '125' ]
finished   (371-3:0) [] [ '371', '205' ]
finished   (1102-0:0) [] [ '1102', '18' ]
finished   (1023-1:0) [] [ '1023', '92' ]
finished   (485-1:0) [] [ '485', '1033' ]
finished   (1103-0:0) [] [ '1103', '952' ]
finished   (1104-0:0) [] [ '1104', '1103' ]
finished   (484-3:0) [] [ '484', '485' ]
finished   (1105-0:0) [] [ '1105', '1106' ]
finished   (1107-0:0) [] [ '1107', '1108' ]
finished   (205-6:0) [] [ '205', '514' ]
finished   (1109-0:0) [] [ '1109', '1110' ]
finished   (455-3:0) [] [ '455', '993' ]
finished   (690-0:0) [] [ '690', '600' ]
finished   (1057-2:0) [] [ '1057', '633' ]
finished   (599-1:0) [] [ '599', '363' ]
finished   (614-1:0) [] [ '614', '363' ]
finished   (548-1:0) [] [ '548', '363' ]
finished   (341-1:0) [] [ '341', '363' ]
finished   (128-1:0) [] [ '128', '363' ]
finished   (349-1:0) [] [ '349', '363' ]
finished   (349-2:0) [] [ '349', '10' ]
finished   (1111-0:0) [] [ '1111', '452' ]
finished   (1112-0:0) [] [ '1112', '10' ]
finished   (484-4:0) [] [ '484', '485' ]
finished   (1113-0:0) [] [ '1113', '1114' ]
finished   (445-2:0) [] [ '445', '999' ]
finished   (1115-0:0) [] [ '1115', '1116' ]
finished   (1117-0:0) [] [ '1117', '999' ]
finished   (1118-0:0) [] [ '1118', '1116' ]
finished   (1119-0:0) [] [ '1119', '999' ]
finished   (794-2:0) [] [ '794', '54' ]
finished   (1120-0:0) [] [ '1120', '633' ]
finished   (999-0:0) [] [ '999', '1121' ]
finished   (999-1:0) [] [ '999', '1122' ]
finished   (1123-0:0) [] [ '1123', '29' ]
finished   (999-2:0) [] [ '999', '1124' ]
finished   (96-1:0) [] [ '96', '127' ]
finished   (1125-0:0) [] [ '1125', '999' ]
finished   (999-3:0) [] [ '999', '1126' ]
finished   (1114-0:0) [] [ '1114', '999' ]
finished   (767-1:0) [] [ '767', '139' ]
finished   (1127-0:0) [] [ '1127', '756' ]
finished   (288-2:0) [] [ '288', '139' ]
finished   (1128-0:0) [] [ '1128', '756' ]
finished   (755-1:0) [] [ '755', '756' ]
finished   (1129-0:0) [] [ '1129', '756' ]
finished   (794-3:0) [] [ '794', '1130' ]
finished   (799-1:0) [] [ '799', '633' ]
finished   (1130-0:0) [] [ '1130', '54' ]
finished   (370-4:0) [] [ '370', '756' ]
finished   (1131-0:0) [] [ '1131', '234' ]
finished   (1132-0:0) [] [ '1132', '821' ]
finished   (1132-1:0) [] [ '1132', '1133' ]
finished   (1134-0:0) [] [ '1134', '365' ]
finished   (1135-0:0) [] [ '1135', '756' ]
finished   (1136-0:0) [] [ '1136', '460' ]
finished   (1137-0:0) [] [ '1137', '756' ]
finished   (1083-0:0) [] [ '1083', '1138' ]
finished   (1139-0:0) [] [ '1139', '756' ]
finished   (1140-0:0) [] [ '1140', '460' ]
finished   (1141-0:0) [] [ '1141', '756' ]
finished   (986-5:0) [] [ '986', '437' ]
finished   (616-2:0) [] [ '616', '595' ]
finished   (1143-0:0) [] [ '1143', '993' ]
finished   (1144-0:0) [] [ '1144', '1029' ]
finished   (909-2:0) [] [ '909', '465' ]
finished   (1102-1:0) [] [ '1102', '18' ]
finished   (1145-0:0) [] [ '1145', '459' ]
finished   (837-1:0) [] [ '837', '756' ]
finished   (115-0:0) [] [ '115', '459' ]
finished   (487-0:0) [] [ '487', '1023' ]
finished   (379-4:0) [] [ '379', '365' ]
finished   (881-1:0) [] [ '881', '365' ]
finished   (881-2:0) [] [ '881', '365' ]
finished   (1146-0:0) [] [ '1146', '584' ]
finished   (729-5:0) [] [ '729', '10' ]
finished   (271-6:0) [] [ '271', '125' ]
finished   (1147-0:0) [] [ '1147', '729' ]
finished   (750-1:0) [] [ '750', '844' ]
finished   (735-1:0) [] [ '735', '844' ]
finished   (205-7:0) [] [ '205', '155' ]
finished   (844-1:0) [] [ '844', '118' ]
finished   (489-3:0) [] [ '489', '274' ]
finished   (118-0:0) [] [ '118', '164' ]
finished   (1148-0:0) [] [ '1148', '895' ]
finished   (375-3:0) [] [ '375', '504' ]
finished   (459-3:0) [] [ '459', '92' ]
finished   (1149-0:0) [] [ '1149', '19' ]
finished   (1150-0:0) [] [ '1150', '725' ]
finished   (481-1:0) [] [ '481', '483' ]
finished   (481-2:0) [] [ '481', '483' ]
finished   (785-2:0) [] [ '785', '1151' ]
finished   (1152-0:0) [] [ '1152', '483' ]
finished   (1150-1:0) [] [ '1150', '725' ]
finished   (1153-0:0) [] [ '1153', '595' ]
finished   (1154-0:0) [] [ '1154', '1155' ]
finished   (460-2:0) [] [ '460', '725' ]
finished   (1156-0:0) [] [ '1156', '29' ]
finished   (1157-0:0) [] [ '1157', '1004' ]
finished   (1158-0:0) [] [ '1158', '1004' ]
finished   (828-6:0) [] [ '828', '125' ]
backtracked (587-0:0) [ '587', '1' ] [ '720' ]
finished   (1102-2:0) [] [ '1102', '18' ]
finished   (139-0:0) [] [ '139', '220' ]
finished   (49-1:0) [] [ '49', '56' ]
finished   (96-2:0) [] [ '96', '164' ]
finished   (65-2:0) [] [ '65', '56' ]
finished   (58-2:0) [] [ '58', '64' ]
finished   (175-3:0) [] [ '175', '164' ]
backtrack21 (48-3:0) [ '48' ] [ '49' ]
finished   (48-3:1) [] [ '48', '56' ]
finished   (175-4:0) [] [ '175', '164' ]
finished   (58-3:0) [] [ '58', '56' ]
finished   (175-5:0) [] [ '175', '164' ]
finished   (57-1:0) [] [ '57', '56' ]
finished   (64-1:0) [] [ '64', '56' ]
finished   (1160-0:0) [] [ '1160', '1161' ]
finished   (1162-0:0) [] [ '1162', '584' ]
finished   (1163-0:0) [] [ '1163', '584' ]
finished   (1164-0:0) [] [ '1164', '184' ]
finished   (121-7:0) [] [ '121', '1033' ]
finished   (485-2:0) [] [ '485', '1033' ]
finished   (1165-0:0) [] [ '1165', '220' ]
finished   (1166-0:0) [] [ '1166', '220' ]
finished   (1167-0:0) [] [ '1167', '184' ]
finished   (1168-0:0) [] [ '1168', '11' ]
finished   (308-5:0) [] [ '308', '484' ]
finished   (1169-0:0) [] [ '1169', '723' ]
finished   (1170-0:0) [] [ '1170', '151' ]
finished   (1171-0:0) [] [ '1171', '485' ]
finished   (1172-0:0) [] [ '1172', '1173' ]
finished   (394-1:0) [] [ '394', '1033' ]
finished   (1174-0:0) [] [ '1174', '1172' ]
finished   (1069-1:0) [] [ '1069', '595' ]
finished   (1173-0:0) [] [ '1173', '29' ]
finished   (1175-0:0) [] [ '1175', '151' ]
finished   (18-2:0) [] [ '18', '131' ]
finished   (1176-0:0) [] [ '1176', '452' ]
finished   (1177-0:0) [] [ '1177', '357' ]
finished   (1178-0:0) [] [ '1178', '54' ]
finished   (1179-0:0) [] [ '1179', '1033' ]
finished   (1180-0:0) [] [ '1180', '65' ]
finished   (1181-0:0) [] [ '1181', '1033' ]
finished   (1182-0:0) [] [ '1182', '65' ]
finished   (1030-1:0) [] [ '1030', '1033' ]
finished   (895-0:0) [] [ '895', '595' ]
finished   (1183-0:0) [] [ '1183', '402' ]
finished   (1183-1:0) [] [ '1183', '405' ]
finished   (1184-0:0) [] [ '1184', '54' ]
finished   (1185-0:0) [] [ '1185', '92' ]
finished   (1186-0:0) [] [ '1186', '151' ]
finished   (1187-0:0) [] [ '1187', '92' ]
finished   (379-5:0) [] [ '379', '365' ]
finished   (1188-0:0) [] [ '1188', '1183' ]
finished   (1189-0:0) [] [ '1189', '47' ]
finished   (1188-1:0) [] [ '1188', '402' ]
finished   (1190-0:0) [] [ '1190', '1189' ]
finished   (47-9:0) [] [ '47', '1190' ]
finished   (1191-0:0) [] [ '1191', '151' ]
finished   (1192-0:0) [] [ '1192', '54' ]
finished   (1004-1:0) [] [ '1004', '584' ]
finished   (1193-0:0) [] [ '1193', '1183' ]
finished   (1193-1:0) [] [ '1193', '405' ]
finished   (1194-0:0) [] [ '1194', '402' ]
finished   (1195-0:0) [] [ '1195', '45' ]
finished   (1194-1:0) [] [ '1194', '405' ]
finished   (199-0:0) [] [ '199', '54' ]
finished   (507-1:0) [] [ '507', '123' ]
finished   (1196-0:0) [] [ '1196', '564' ]
finished   (1197-0:0) [] [ '1197', '45' ]
finished   (1199-0:0) [] [ '1199', '564' ]
finished   (1200-0:0) [] [ '1200', '399' ]
finished   (1201-0:0) [] [ '1201', '65' ]
finished   (1202-0:0) [] [ '1202', '564' ]
finished   (1203-0:0) [] [ '1203', '402' ]
finished   (1203-1:0) [] [ '1203', '405' ]
finished   (1203-2:0) [] [ '1203', '640' ]
finished   (1204-0:0) [] [ '1204', '10' ]
finished   (121-8:0) [] [ '121', '1033' ]
finished   (888-1:0) [] [ '888', '287' ]
finished   (1205-0:0) [] [ '1205', '10' ]
finished   (1194-2:0) [] [ '1194', '640' ]
finished   (1206-0:0) [] [ '1206', '151' ]
finished   (1193-2:0) [] [ '1193', '640' ]
finished   (1207-0:0) [] [ '1207', '10' ]
finished   (1188-2:0) [] [ '1188', '640' ]
finished   (1208-0:0) [] [ '1208', '953' ]
finished   (1209-0:0) [] [ '1209', '123' ]
finished   (19-3:0) [] [ '19', '131' ]
finished   (1210-0:0) [] [ '1210', '10' ]
finished   (1211-0:0) [] [ '1211', '123' ]
finished   (1212-0:0) [] [ '1212', '123' ]
finished   (151-7:0) [] [ '151', '123' ]
finished   (1213-0:0) [] [ '1213', '1214' ]
finished   (1215-0:0) [] [ '1215', '10' ]
finished   (1216-0:0) [] [ '1216', '92' ]
finished   (1217-0:0) [] [ '1217', '45' ]
finished   (1218-0:0) [] [ '1218', '10' ]
finished   (886-1:0) [] [ '886', '287' ]
finished   (1206-1:0) [] [ '1206', '123' ]
finished   (19-4:0) [] [ '19', '131' ]
finished   (1219-0:0) [] [ '1219', '98' ]
finished   (1220-0:0) [] [ '1220', '10' ]
finished   (1221-0:0) [] [ '1221', '98' ]
finished   (274-2:0) [] [ '274', '270' ]
finished   (1222-0:0) [] [ '1222', '54' ]
finished   (1223-0:0) [] [ '1223', '572' ]
finished   (1224-0:0) [] [ '1224', '10' ]
finished   (1225-0:0) [] [ '1225', '123' ]
finished   (516-1:0) [] [ '516', '1226' ]
finished   (13-3:0) [] [ '13', '1226' ]
finished   (1227-0:0) [] [ '1227', '123' ]
finished   (136-2:0) [] [ '136', '123' ]
finished   (479-0:0) [] [ '479', '1226' ]
finished   (1228-0:0) [] [ '1228', '10' ]
finished   (1229-0:0) [] [ '1229', '1230' ]
finished   (1231-0:0) [] [ '1231', '123' ]
finished   (1232-0:0) [] [ '1232', '45' ]
finished   (1233-0:0) [] [ '1233', '10' ]
finished   (1234-0:0) [] [ '1234', '1235' ]
finished   (287-1:0) [] [ '287', '1226' ]
finished   (1236-0:0) [] [ '1236', '123' ]
finished   (994-0:0) [] [ '994', '1' ]
finished   (1238-0:0) [] [ '1238', '1235' ]
finished   (930-0:0) [] [ '930', '804' ]
finished   (1239-0:0) [] [ '1239', '1235' ]
finished   (1240-0:0) [] [ '1240', '10' ]
finished   (1241-0:0) [] [ '1241', '365' ]
finished   (1242-0:0) [] [ '1242', '1235' ]
finished   (1243-0:0) [] [ '1243', '1244' ]
finished   (1245-0:0) [] [ '1245', '1235' ]
finished   (1246-0:0) [] [ '1246', '993' ]
finished   (1247-0:0) [] [ '1247', '1248' ]
finished   (1249-0:0) [] [ '1249', '1235' ]
finished   (1250-0:0) [] [ '1250', '1244' ]
finished   (1251-0:0) [] [ '1251', '1252' ]
finished   (487-1:0) [] [ '487', '1253' ]
finished   (487-2:0) [] [ '487', '1254' ]
finished   (1255-0:0) [] [ '1255', '1235' ]
finished   (487-3:0) [] [ '487', '1256' ]
finished   (1257-0:0) [] [ '1257', '1244' ]
finished   (1258-0:0) [] [ '1258', '10' ]
finished   (1259-0:0) [] [ '1259', '1244' ]
finished   (1260-0:0) [] [ '1260', '1235' ]
finished   (1261-0:0) [] [ '1261', '10' ]
finished   (13-4:0) [] [ '13', '1226' ]
finished   (1170-1:0) [] [ '1170', '123' ]
finished   (151-8:0) [] [ '151', '1262' ]
finished   (1263-0:0) [] [ '1263', '1244' ]
finished   (1264-0:0) [] [ '1264', '1235' ]
finished   (1265-0:0) [] [ '1265', '1255' ]
finished   (1266-0:0) [] [ '1266', '1244' ]
finished   (287-2:0) [] [ '287', '1226' ]
finished   (1262-1:0) [] [ '1262', '123' ]
finished   (1267-0:0) [] [ '1267', '1235' ]
finished   (1268-0:0) [] [ '1268', '1235' ]
finished   (485-3:0) [] [ '485', '1033' ]
finished   (479-1:0) [] [ '479', '1226' ]
finished   (1269-0:0) [] [ '1269', '1248' ]
finished   (1270-0:0) [] [ '1270', '1244' ]
finished   (1271-0:0) [] [ '1271', '370' ]
finished   (1272-0:0) [] [ '1272', '1235' ]
finished   (1273-0:0) [] [ '1273', '1235' ]
finished   (399-2:0) [] [ '399', '400' ]
finished   (1252-0:0) [] [ '1252', '1251' ]
finished   (1274-0:0) [] [ '1274', '1244' ]
finished   (1275-0:0) [] [ '1275', '1235' ]
finished   (1276-0:0) [] [ '1276', '584' ]
finished   (1277-0:0) [] [ '1277', '224' ]
finished   (1278-0:0) [] [ '1278', '123' ]
finished   (1279-0:0) [] [ '1279', '10' ]
finished   (1280-0:0) [] [ '1280', '1234' ]
finished   (1281-0:0) [] [ '1281', '1274' ]
finished   (1282-0:0) [] [ '1282', '1235' ]
finished   (1283-0:0) [] [ '1283', '1284' ]
finished   (1283-1:0) [] [ '1283', '1284' ]
finished   (1285-0:0) [] [ '1285', '287' ]
finished   (1286-0:0) [] [ '1286', '1244' ]
finished   (1287-0:0) [] [ '1287', '1283' ]
finished   (1288-0:0) [] [ '1288', '92' ]
finished   (1288-1:0) [] [ '1288', '92' ]
finished   (1289-0:0) [] [ '1289', '274' ]
finished   (1290-0:0) [] [ '1290', '459' ]
finished   (939-1:0) [] [ '939', '452' ]
finished   (1012-1:0) [] [ '1012', '365' ]
finished   (1291-0:0) [] [ '1291', '224' ]
finished   (1291-1:0) [] [ '1291', '92' ]
finished   (1292-0:0) [] [ '1292', '595' ]
finished   (1293-0:0) [] [ '1293', '756' ]
finished   (1294-0:0) [] [ '1294', '595' ]
finished   (1295-0:0) [] [ '1295', '756' ]
finished   (38-1:0) [] [ '38', '375' ]
finished   (1074-1:0) [] [ '1074', '484' ]
finished   (1296-0:0) [] [ '1296', '1244' ]
finished   (694-0:0) [] [ '694', '1153' ]
finished   (1297-0:0) [] [ '1297', '1298' ]
finished   (874-1:0) [] [ '874', '412' ]
finished   (1299-0:0) [] [ '1299', '1300' ]
finished   (1159-0:0) [] [ '1159', '125' ]
finished   (1299-1:0) [] [ '1299', '564' ]
finished   (1301-0:0) [] [ '1301', '125' ]
backtrack21 (863-1:0) [ '863' ] [ '584' ]
finished   (863-1:1) [] [ '863', '1300' ]
finished   (1301-1:0) [] [ '1301', '125' ]
finished   (600-8:0) [] [ '600', '15' ]
finished   (6-6:0) [] [ '6', '7' ]
finished   (1302-0:0) [] [ '1302', '1303' ]
finished   (1153-1:0) [] [ '1153', '1304' ]
finished   (292-5:0) [] [ '292', '125' ]
finished   (1161-0:0) [] [ '1161', '459' ]
finished   (1305-0:0) [] [ '1305', '1306' ]
finished   (501-3:0) [] [ '501', '125' ]
finished   (1307-0:0) [] [ '1307', '452' ]
finished   (1111-1:0) [] [ '1111', '452' ]
finished   (1086-1:0) [] [ '1086', '1010' ]
finished   (725-3:0) [] [ '725', '92' ]
finished   (2-4:0) [] [ '2', '11' ]
finished   (1308-0:0) [] [ '1308', '1309' ]
finished   (1310-0:0) [] [ '1310', '92' ]
finished   (584-3:0) [] [ '584', '270' ]
finished   (793-2:0) [] [ '793', '1311' ]
finished   (1312-0:0) [] [ '1312', '1313' ]
finished   (1313-0:0) [] [ '1313', '92' ]
finished   (445-3:0) [] [ '445', '999' ]
finished   (445-4:0) [] [ '445', '92' ]
finished   (1312-1:0) [] [ '1312', '1313' ]
finished   (603-1:0) [] [ '603', '410' ]
finished   (603-2:0) [] [ '603', '416' ]
finished   (1314-0:0) [] [ '1314', '1311' ]
finished   (445-5:0) [] [ '445', '999' ]
finished   (45-34:0) [] [ '45', '703' ]
finished   (1315-0:0) [] [ '1315', '572' ]
finished   (1316-0:0) [] [ '1316', '1311' ]
finished   (1317-0:0) [] [ '1317', '352' ]
finished   (1318-0:0) [] [ '1318', '29' ]
finished   (1319-0:0) [] [ '1319', '357' ]
finished   (388-2:0) [] [ '388', '379' ]
finished   (1320-0:0) [] [ '1320', '572' ]
finished   (1321-0:0) [] [ '1321', '357' ]
finished   (1168-1:0) [] [ '1168', '11' ]
finished   (379-6:0) [] [ '379', '365' ]
finished   (1322-0:0) [] [ '1322', '274' ]
finished   (1323-0:0) [] [ '1323', '357' ]
finished   (1324-0:0) [] [ '1324', '513' ]
finished   (1325-0:0) [] [ '1325', '357' ]
finished   (1326-0:0) [] [ '1326', '572' ]
finished   (1327-0:0) [] [ '1327', '357' ]
finished   (1298-0:0) [] [ '1298', '131' ]
finished   (855-1:0) [] [ '855', '485' ]
finished   (855-2:0) [] [ '855', '121' ]
finished   (1328-0:0) [] [ '1328', '1329' ]
finished   (1330-0:0) [] [ '1330', '87' ]
finished   (1331-0:0) [] [ '1331', '1226' ]
finished   (1332-0:0) [] [ '1332', '513' ]
finished   (184-2:0) [] [ '184', '224' ]
finished   (328-2:0) [] [ '328', '513' ]
finished   (1333-0:0) [] [ '1333', '513' ]
finished   (301-2:0) [] [ '301', '513' ]
finished   (1334-0:0) [] [ '1334', '1335' ]
finished   (320-2:0) [] [ '320', '513' ]
finished   (1336-0:0) [] [ '1336', '513' ]
finished   (1337-0:0) [] [ '1337', '47' ]
finished   (1203-3:0) [] [ '1203', '249' ]
finished   (375-4:0) [] [ '375', '224' ]
finished   (1-15:0) [] [ '1', '11' ]
finished   (640-1:0) [] [ '640', '452' ]
finished   (249-1:0) [] [ '249', '452' ]
finished   (1339-0:0) [] [ '1339', '452' ]
finished   (1340-0:0) [] [ '1340', '19' ]
finished   (1176-1:0) [] [ '1176', '452' ]
finished   (1341-0:0) [] [ '1341', '452' ]
finished   (1339-1:0) [] [ '1339', '452' ]
finished   (400-2:0) [] [ '400', '452' ]
finished   (412-4:0) [] [ '412', '1010' ]
finished   (1342-0:0) [] [ '1342', '452' ]
finished   (512-18:0) [] [ '512', '1226' ]
finished   (1343-0:0) [] [ '1343', '1344' ]
finished   (1345-0:0) [] [ '1345', '494' ]
finished   (1346-0:0) [] [ '1346', '513' ]
finished   (1347-0:0) [] [ '1347', '19' ]
finished   (1348-0:0) [] [ '1348', '19' ]
finished   (1349-0:0) [] [ '1349', '1350' ]
finished   (1230-1:0) [] [ '1230', '452' ]
finished   (1343-1:0) [] [ '1343', '1226' ]
finished   (1351-0:0) [] [ '1351', '494' ]
finished   (1350-0:0) [] [ '1350', '1352' ]
finished   (1352-0:0) [] [ '1352', '1349' ]
finished   (1341-1:0) [] [ '1341', '452' ]
finished   (249-2:0) [] [ '249', '452' ]
finished   (1344-1:0) [] [ '1344', '1226' ]
finished   (1151-0:0) [] [ '1151', '452' ]
finished   (931-2:0) [] [ '931', '1226' ]
finished   (982-2:0) [] [ '982', '452' ]
finished   (1353-0:0) [] [ '1353', '159' ]
finished   (1354-0:0) [] [ '1354', '452' ]
finished   (388-3:0) [] [ '388', '379' ]
finished   (388-4:0) [] [ '388', '365' ]
finished   (1355-0:0) [] [ '1355', '512' ]
finished   (1356-0:0) [] [ '1356', '452' ]
finished   (1357-0:0) [] [ '1357', '365' ]
finished   (379-8:0) [] [ '379', '365' ]
finished   (428-2:0) [] [ '428', '365' ]
finished   (640-2:0) [] [ '640', '452' ]
finished   (1358-0:0) [] [ '1358', '452' ]
finished   (1134-1:0) [] [ '1134', '365' ]
finished   (1359-0:0) [] [ '1359', '365' ]
finished   (420-1:0) [] [ '420', '365' ]
finished   (1360-0:0) [] [ '1360', '452' ]
finished   (1213-1:0) [] [ '1213', '452' ]
finished   (415-2:0) [] [ '415', '365' ]
finished   (1361-0:0) [] [ '1361', '1222' ]
finished   (424-3:0) [] [ '424', '365' ]
finished   (640-3:0) [] [ '640', '452' ]
finished   (552-0:0) [] [ '552', '459' ]
finished   (98-1:0) [] [ '98', '452' ]
finished   (1362-0:0) [] [ '1362', '365' ]
finished   (1008-2:0) [] [ '1008', '452' ]
finished   (1363-0:0) [] [ '1363', '452' ]
finished   (1364-0:0) [] [ '1364', '512' ]
finished   (1359-1:0) [] [ '1359', '365' ]
backtrack21 (413-1:0) [ '413' ] [ '365' ]
finished   (413-0:0) [] [ '413', '388', '379' ]
finished   (1188-3:0) [] [ '1188', '452' ]
finished   (1172-1:0) [] [ '1172', '1173' ]
finished   (1174-1:0) [] [ '1174', '1173' ]
finished   (1172-2:0) [] [ '1172', '1173' ]
finished   (471-0:0) [] [ '471', '803' ]
finished   (1174-2:0) [] [ '1174', '1173' ]
finished   (1176-2:0) [] [ '1176', '452' ]
finished   (413-2:0) [] [ '413', '365' ]
finished   (823-2:0) [] [ '823', '452' ]
finished   (98-2:0) [] [ '98', '249' ]
finished   (1334-1:0) [] [ '1334', '1365' ]
finished   (1366-0:0) [] [ '1366', '452' ]
finished   (1367-0:0) [] [ '1367', '224' ]
finished   (1335-1:0) [] [ '1335', '1368' ]
finished   (1369-0:0) [] [ '1369', '460' ]
finished   (1317-1:0) [] [ '1317', '352' ]
finished   (587-0:1) [] [ '587', '1', '54' ]
finished   (1357-1:0) [] [ '1357', '365' ]
finished   (1371-0:0) [] [ '1371', '47' ]
finished   (1372-0:0) [] [ '1372', '1373' ]
finished   (1374-0:0) [] [ '1374', '365' ]
finished   (1375-0:0) [] [ '1375', '47' ]
finished   (437-8:0) [] [ '437', '667' ]
finished   (1376-0:0) [] [ '1376', '1373' ]
finished   (1374-1:0) [] [ '1374', '365' ]
finished   (173-1:0) [] [ '173', '352' ]
finished   (986-6:0) [] [ '986', '1377' ]
finished   (1378-0:0) [] [ '1378', '1376' ]
finished   (729-6:0) [] [ '729', '513' ]
finished   (1342-1:0) [] [ '1342', '452' ]
finished   (414-1:0) [] [ '414', '404' ]
finished   (249-3:0) [] [ '249', '452' ]
finished   (1379-0:0) [] [ '1379', '1376' ]
finished   (407-1:0) [] [ '407', '404' ]
finished   (785-3:0) [] [ '785', '452' ]
finished   (1380-0:0) [] [ '1380', '1378' ]
finished   (417-1:0) [] [ '417', '404' ]
finished   (1380-1:0) [] [ '1380', '1381' ]
finished   (1382-0:0) [] [ '1382', '404' ]
finished   (1062-1:0) [] [ '1062', '404' ]
finished   (411-1:0) [] [ '411', '404' ]
finished   (1383-0:0) [] [ '1383', '404' ]
finished   (825-2:0) [] [ '825', '452' ]
finished   (622-2:0) [] [ '622', '452' ]
finished   (1379-1:0) [] [ '1379', '1381' ]
finished   (249-4:0) [] [ '249', '452' ]
finished   (1384-0:0) [] [ '1384', '1376' ]
finished   (370-6:0) [] [ '370', '270' ]
finished   (1384-1:0) [] [ '1384', '1385' ]
finished   (352-3:0) [] [ '352', '1010' ]
finished   (1386-0:0) [] [ '1386', '1378' ]
finished   (1386-1:0) [] [ '1386', '1385' ]
finished   (1387-0:0) [] [ '1387', '270' ]
finished   (1385-0:0) [] [ '1385', '131' ]
finished   (1385-1:0) [] [ '1385', '131' ]
finished   (717-2:0) [] [ '717', '725' ]
finished   (271-7:0) [] [ '271', '125' ]
finished   (871-5:0) [] [ '871', '125' ]
finished   (1388-0:0) [] [ '1388', '1389' ]
finished   (1388-1:0) [] [ '1388', '1389' ]
finished   (34-4:0) [] [ '34', '460' ]
finished   (1378-1:0) [] [ '1378', '1298' ]
backtrack21 (183-1:0) [ '183' ] [ '184' ]
finished   (183-1:1) [] [ '183', '375' ]
finished   (881-3:0) [] [ '881', '365' ]
finished   (1329-0:0) [] [ '1329', '224' ]
finished   (456-0:0) [] [ '456', '188' ]
finished   (136-3:0) [] [ '136', '1231' ]
finished   (459-4:0) [] [ '459', '92' ]
finished   (1390-0:0) [] [ '1390', '274' ]
finished   (1343-2:0) [] [ '1343', '584' ]
finished   (1355-1:0) [] [ '1355', '584' ]
finished   (287-3:0) [] [ '287', '584' ]
finished   (900-3:0) [] [ '900', '365' ]
finished   (516-2:0) [] [ '516', '584' ]
finished   (564-2:0) [] [ '564', '584' ]
finished   (489-4:0) [] [ '489', '274' ]
finished   (487-4:0) [] [ '487', '1023' ]
backtrack21 (779-1:0) [ '779' ] [ '600' ]
finished   (779-1:1) [] [ '779', '1391' ]
finished   (6-7:0) [] [ '6', '7' ]
finished   (1392-0:0) [] [ '1392', '151' ]
finished   (1194-3:0) [] [ '1194', '1393' ]
finished   (1357-2:0) [] [ '1357', '365' ]
finished   (1193-3:0) [] [ '1193', '1393' ]
finished   (1103-1:0) [] [ '1103', '1393' ]
finished   (1106-1:0) [] [ '1106', '1393' ]
finished   (607-1:0) [] [ '607', '21' ]
finished   (6-8:0) [] [ '6', '7' ]
finished   (1183-2:0) [] [ '1183', '1393' ]
finished   (1105-1:0) [] [ '1105', '1393' ]
finished   (1394-0:0) [] [ '1394', '584' ]
finished   (1300-0:0) [] [ '1300', '584' ]
finished   (584-4:0) [] [ '584', '270' ]
finished   (1395-0:0) [] [ '1395', '584' ]
finished   (727-1:0) [] [ '727', '123' ]
finished   (359-1:0) [] [ '359', '729' ]
finished   (1279-1:0) [] [ '1279', '508' ]
finished   (1396-0:0) [] [ '1396', '10' ]
finished   (1397-0:0) [] [ '1397', '10' ]
finished   (333-1:0) [] [ '333', '215' ]
finished   (333-2:0) [] [ '333', '10' ]
finished   (38-2:0) [] [ '38', '184' ]
finished   (1398-0:0) [] [ '1398', '151' ]
finished   (577-1:0) [] [ '577', '131' ]
finished   (274-3:0) [] [ '274', '270' ]
